operationId,path,verb,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
ApplyPendingMaintenanceAction,/pending-action,POST,The type of pending maintenance action to be ap...,pending_maintenance_actions,apply_pending_maintenance_action,exec,,,,,
CopyClusterSnapshot,/cluster-snapshot/{snapshotArn}/copy,POST,Copies a snapshot of an elastic cluster.,cluster_snapshots,copy_cluster_snapshot,exec,,,,,
CreateCluster,/cluster,POST,Creates a new Amazon DocumentDB elastic cluster...,clusters,create_cluster,insert,,,,,
CreateClusterSnapshot,/cluster-snapshot,POST,Creates a snapshot of an elastic cluster.,cluster_snapshots,create_cluster_snapshot,insert,,,,,
DeleteCluster,/cluster/{clusterArn},DELETE,Delete an elastic cluster.,clusters,delete_cluster,delete,,,,,
DeleteClusterSnapshot,/cluster-snapshot/{snapshotArn},DELETE,Delete an elastic cluster snapshot.,cluster_snapshots,delete_cluster_snapshot,delete,,,,,
GetCluster,/cluster/{clusterArn},GET,Returns information about a specific elastic cl...,clusters,get_cluster,select,,,,,
GetClusterSnapshot,/cluster-snapshot/{snapshotArn},GET,Returns information about a specific elastic cl...,cluster_snapshots,get_cluster_snapshot,select,,,,,
GetPendingMaintenanceAction,/pending-action/{resourceArn},GET,Retrieves all maintenance actions that are pend...,pending_maintenance_actions,get_pending_maintenance_action,select,,,,,
ListClusterSnapshots,/cluster-snapshots,GET,Returns information about snapshots for a speci...,cluster_snapshots,list_cluster_snapshots,select,$.snapshots,,,,
ListClusters,/clusters,GET,Returns information about provisioned Amazon Do...,clusters,list_clusters,select,$.clusters,,,,
ListPendingMaintenanceActions,/pending-actions,GET,Retrieves a list of all maintenance actions tha...,pending_maintenance_actions,list_pending_maintenance_actions,select,$.resourcePendingMaintenanceActions,,,,
ListTagsForResource,/tags/{resourceArn},GET,Lists all tags on a elastic cluster resource,tags,list_tags_for_resource,select,,,,,
RestoreClusterFromSnapshot,/cluster-snapshot/{snapshotArn}/restore,POST,Restores an elastic cluster from a snapshot.,clusters,restore_cluster_from_snapshot,exec,,,,,
StartCluster,/cluster/{clusterArn}/start,POST,Restarts the stopped elastic cluster that is sp...,clusters,start_cluster,exec,,,,,
StopCluster,/cluster/{clusterArn}/stop,POST,Stops the running elastic cluster that is speci...,clusters,stop_cluster,exec,,,,,
TagResource,/tags/{resourceArn},POST,Adds metadata tags to an elastic cluster resource,tags,tag_resource,exec,,,,,
UntagResource,/tags/{resourceArn},DELETE,Removes metadata tags from an elastic cluster r...,tags,untag_resource,delete,,,,,
UpdateCluster,/cluster/{clusterArn},PUT,Modifies an elastic cluster. This includes upda...,clusters,update_cluster,update,,,,,
