operationId,path,verb,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
CreateChallenge,/challenges,POST,For general-purpose connectors. Creates a _chal...,challenges,create_challenge,insert,,,,,
CreateConnector,/connectors,POST,Creates a SCEP connector. A SCEP connector link...,connectors,create_connector,insert,,,,,
DeleteChallenge,/challenges/{ChallengeArn},DELETE,Deletes the specified [Challenge](https://docs....,challenges,delete_challenge,delete,,,,,
DeleteConnector,/connectors/{ConnectorArn},DELETE,Deletes the specified [Connector](https://docs....,connectors,delete_connector,delete,,,,,
GetChallengeMetadata,/challengeMetadata/{ChallengeArn},GET,Retrieves the metadata for the specified [Chall...,challenges,get_challenge_metadata,select,,,,,
GetChallengePassword,/challengePasswords/{ChallengeArn},GET,Retrieves the challenge password for the specif...,challenge_password,get_challenge_password,select,,,,,
GetConnector,/connectors/{ConnectorArn},GET,Retrieves details about the specified [Connecto...,connectors,get_connector,select,,,,,
ListChallengeMetadata,/challengeMetadata,GET,Retrieves the challenge metadata for the specif...,challenges,list_challenge_metadata,select,$.Challenges,,,,
ListConnectors,/connectors,GET,Lists the connectors belonging to your Amazon W...,connectors,list_connectors,select,$.Connectors,,,,
ListTagsForResource,/tags/{ResourceArn},GET,Retrieves the tags associated with the specifie...,tags,list_tags_for_resource,select,,,,,
TagResource,/tags/{ResourceArn},POST,Adds one or more tags to your resource.,tags,tag_resource,exec,,,,,
UntagResource,/tags/{ResourceArn},DELETE,Removes one or more tags from your resource.,tags,untag_resource,delete,,,,,
