operationId,path,verb,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
CreateIndex,/CreateIndex,POST,Creates a vector index within a vector bucket. ...,indexes,create_index,insert,,,,,
CreateVectorBucket,/CreateVectorBucket,POST,Creates a vector bucket in the Amazon Web Servi...,vector_buckets,create_vector_bucket,insert,,,,,
DeleteIndex,/DeleteIndex,POST,Deletes a vector index. To specify the vector i...,indexes,delete_index,delete,,,,,
DeleteVectorBucket,/DeleteVectorBucket,POST,Deletes a vector bucket. All vector indexes in ...,vector_buckets,delete_vector_bucket,delete,,,,,
DeleteVectorBucketPolicy,/DeleteVectorBucketPolicy,POST,Deletes a vector bucket policy. To specify the ...,vector_bucket_policies,delete_vector_bucket_policy,delete,,,,,
DeleteVectors,/DeleteVectors,POST,Deletes one or more vectors in a vector index. ...,vectors,delete_vectors,delete,,,,,
GetIndex,/GetIndex,POST,Returns vector index attributes. To specify the...,index,get_index,select,,,,,
GetVectorBucket,/GetVectorBucket,POST,Returns vector bucket attributes. To specify th...,vector_bucket,get_vector_bucket,select,,,,,
GetVectorBucketPolicy,/GetVectorBucketPolicy,POST,Gets details about a vector bucket policy. To s...,vector_bucket_policies,get_vector_bucket_policy,select,,,,,
GetVectors,/GetVectors,POST,Returns vector attributes. To specify the vecto...,vectors_details,get_vectors,select,,,,,
ListIndexes,/ListIndexes,POST,Returns a list of all the vector indexes within...,indexes,list_indexes,select,$.indexes,,,,
ListTagsForResource,/tags/{resourceArn},GET,Lists all of the tags applied to a specified Am...,tags,list_tags_for_resource,select,,,,,
ListVectorBuckets,/ListVectorBuckets,POST,Returns a list of all the vector buckets that a...,vector_buckets,list_vector_buckets,select,$.vectorBuckets,,,,
ListVectors,/ListVectors,POST,List vectors in the specified vector index. To ...,vectors,list_vectors,select,$.vectors,,,,
PutVectorBucketPolicy,/PutVectorBucketPolicy,POST,Creates a bucket policy for a vector bucket. To...,vector_bucket_policies,put_vector_bucket_policy,replace,,,,,
PutVectors,/PutVectors,POST,Adds one or more vectors to a vector index. To ...,vectors,put_vectors,replace,,,,,
QueryVectors,/QueryVectors,POST,Performs an approximate nearest neighbor search...,vectors,query_vectors,exec,,,,,
TagResource,/tags/{resourceArn},POST,Applies one or more user-defined tags to an Ama...,tags,tag_resource,exec,,,,,
UntagResource,/tags/{resourceArn},DELETE,Removes the specified user-defined tags from an...,tags,untag_resource,delete,,,,,
