operationId,path,verb,description,resource,originalResourceName,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
CreateSlackChannelConfiguration,/control/create-slack-channel-configuration,POST,Creates a Slack channel configuration for your ...,,slack_channel_configurations,create_slack_channel_configuration,insert,,,,,
DeleteAccountAlias,/control/delete-account-alias,POST,Deletes an alias for an Amazon Web Services acc...,,account_alias,delete_account_alias,delete,,,,,
DeleteSlackChannelConfiguration,/control/delete-slack-channel-configuration,POST,Deletes a Slack channel configuration from your...,,slack_channel_configurations,delete_slack_channel_configuration,delete,,,,,
DeleteSlackWorkspaceConfiguration,/control/delete-slack-workspace-configuration,POST,Deletes a Slack workspace configuration from yo...,,slack_workspace_configurations,delete_slack_workspace_configuration,delete,,,,,
GetAccountAlias,/control/get-account-alias,POST,Retrieves the alias from an Amazon Web Services...,,account_alias,get_account_alias,select,,,,,
ListSlackChannelConfigurations,/control/list-slack-channel-configurations,POST,Lists the Slack channel configurations for an A...,,slack_channel_configurations,list_slack_channel_configurations,select,,,,,
ListSlackWorkspaceConfigurations,/control/list-slack-workspace-configurations,POST,Lists the Slack workspace configurations for an...,,slack_workspace_configurations,list_slack_workspace_configurations,select,,,,,
PutAccountAlias,/control/put-account-alias,POST,Creates or updates an individual alias for each...,,account_alias,put_account_alias,insert,,,,,
RegisterSlackWorkspaceForOrganization,/control/register-slack-workspace-for-organization,POST,Registers a Slack workspace for your Amazon Web...,,slack_workspace_for_organizations,register_slack_workspace_for_organization,insert,,,,,
UpdateSlackChannelConfiguration,/control/update-slack-channel-configuration,POST,"Updates the configuration for a Slack channel, ...",,slack_channel_configurations,update_slack_channel_configuration,update,,,,,
